,0
target,0
relative_humidity_2m_above_ground,0
specific_humidity_2m_above_ground,0
temperature_2m_above_ground,0
u_component_of_wind_10m_above_ground,0
v_component_of_wind_10m_above_ground,0
L3_NO2_NO2_column_number_density,0
L3_NO2_NO2_slant_column_number_density,0
L3_NO2_solar_azimuth_angle,0
L3_NO2_tropospheric_NO2_column_number_density,0
L3_O3_O3_column_number_density,0
L3_O3_solar_azimuth_angle,0
L3_CO_CO_column_number_density,0
L3_CO_solar_azimuth_angle,0
L3_HCHO_HCHO_slant_column_number_density,0
L3_HCHO_solar_azimuth_angle,0
L3_HCHO_tropospheric_HCHO_column_number_density,0
L3_HCHO_tropospheric_HCHO_column_number_density_amf,0
L3_CLOUD_cloud_fraction,0
L3_CLOUD_solar_azimuth_angle,0
L3_AER_AI_absorbing_aerosol_index,0
L3_AER_AI_sensor_altitude,0
L3_AER_AI_solar_azimuth_angle,0
L3_SO2_absorbing_aerosol_index,0
L3_SO2_solar_azimuth_angle,0
