,target
target,1.0
L3_CO_CO_column_number_density,0.4359909783213105
L3_HCHO_tropospheric_HCHO_column_number_density,0.3927494555344219
L3_HCHO_HCHO_slant_column_number_density,0.3683270668378876
L3_NO2_NO2_slant_column_number_density,0.32822695934121576
L3_AER_AI_sensor_altitude,0.3134204046899194
L3_NO2_tropospheric_NO2_column_number_density,0.30107972833551155
L3_NO2_NO2_column_number_density,0.292720280407175
L3_AER_AI_solar_azimuth_angle,0.21862550466891734
L3_O3_solar_azimuth_angle,0.21763691487772452
L3_CLOUD_solar_azimuth_angle,0.21655878862597197
L3_NO2_solar_azimuth_angle,0.21504151465086146
L3_HCHO_solar_azimuth_angle,0.2004295370606636
L3_SO2_solar_azimuth_angle,0.1972964278293599
L3_CO_solar_azimuth_angle,0.18673919364342964
u_component_of_wind_10m_above_ground,0.15954979486222412
L3_O3_O3_column_number_density,0.1516914929794645
L3_SO2_absorbing_aerosol_index,0.15138054487615593
L3_HCHO_tropospheric_HCHO_column_number_density_amf,0.14320417359961174
L3_AER_AI_absorbing_aerosol_index,0.08517019082353375
L3_CLOUD_cloud_fraction,0.06910374693128316
temperature_2m_above_ground,0.06238754024534038
specific_humidity_2m_above_ground,0.035872591177808645
relative_humidity_2m_above_ground,0.03364166696387535
v_component_of_wind_10m_above_ground,0.03337241218810013
